"content_id","content_type_id","title","latitude","longitude"
125575,12,"보가산성지(지장산)",38.11071142,127.1950883
125576,12,"지순택요(고려도요)",37.31196358,127.3988789
125577,12,"노송지대(수원)",37.31678062,126.9876439
125578,12,"한국민속촌",37.25778423,127.1182115
125579,12,"판문점",37.89209825,126.7448054
125580,12,"이천도예마을",37.30791136,127.403662
125581,12,"광주 조선백자 요지",37.44666228,127.2686397
125582,12,"여주도예단지",37.30489671,127.6472067
125583,12,"오두산 통일전망대",37.77323036,126.6772705
125584,12,"설악산국립공원(내설악)",38.12473146,128.2041596
125586,12,"설악산국립공원(남설악)",38.18098512,128.3019018
125587,12,"치악산국립공원",37.41436097,128.050681
125588,12,"경포도립공원",37.82740128,128.8807686
125589,12,"낙산도립공원",38.11610181,128.6313822
125590,12,"태백산 국립공원",37.13111368,128.9620715
125591,12,"오대산국립공원",37.71712808,128.6014972
125593,12,"가리산(홍천)",37.87165899,127.9566453
125594,12,"함백산",37.15818199,128.9203299
125595,12,"청옥산(평창)",37.37464885,128.4905564
125596,12,"백덕산(평창)",37.42776392,128.289759
125597,12,"두타산",37.39360411,129.0218137
125598,12,"육향산",37.43565522,129.1844784
125599,12,"용화산 (강원평화지역 국가지질공원)",38.04829276,127.7437761
125600,12,"감악산(원주)",37.23303098,128.1500301
125604,12,"삼악산(춘천)",37.82576987,127.6593321
125605,12,"강촌유원지",37.81570388,127.6325487
125606,12,"공작산",37.71570588,128.0100618
125607,12,"미륵산",37.17189904,127.8454926
125609,12,"매화산(강원)",37.40636276,128.0965382
125610,12,"팔봉산(홍천)",37.70307368,127.6951741
125611,12,"태기산",37.60611782,128.2645643
125612,12,"계방산(평창)",37.70715122,128.444545
125613,12,"백덕산(영월)",37.38343257,128.2707259
125614,12,"점봉산",38.03553653,128.3621647
125616,12,"민둥산",37.25450713,128.7811617
125617,12,"제왕산/능경봉",37.70995459,128.7806257
125618,12,"오색령(한계령)",38.12090905,128.4603975
125619,12,"노인봉",37.8306549,128.6576247
125620,12,"노추산",37.54126816,128.7620825
125621,12,"대청봉",38.08495487,128.4588238
125624,12,"황병산",37.75541092,128.6621572
125625,12,"담터계곡",38.15617821,127.1885987
125626,12,"용소계곡",37.86763772,128.1294964
125627,12,"내린천 포트홀 (강원평화지역 국가지질공원)",37.96539621,128.2965061
125628,12,"하추리계곡",38.03058313,128.2996371
125630,12,"고원통계곡",38.21295085,128.1578056
125631,12,"구만동계곡",38.19420376,128.3403395
125632,12,"추대계곡",37.95643193,128.3669444
125633,12,"내심적계곡",38.25174144,128.1928734
125634,12,"미산계곡",37.86846615,128.3151962
125635,12,"광대곡",37.31649513,128.8167566
125636,12,"단경골 휴양지",37.67242268,128.916448
